Supply Demand,Per Person,Per Shelter,Unit,Note,Source
BLANKET,1,,PCS,,Renkon Banjir Jakarta 2014
PLASTIC CARPET,0.575565485185881,,PCS,,Renkon Banjir Jakarta 2014
MATTRES,0.069434800722122,,PCS,,Renkon Banjir Jakarta 2014
TARP,0.137235841427253,,PCS,,Renkon Banjir Jakarta 2014
SCHOOL UNIFORM,0.16337600169911,,SET,,Renkon Banjir Jakarta 2014
SARONG,0.137235841427253,,PCS,,Renkon Banjir Jakarta 2014
DRESS,0.065350400679644,,PCS,,Renkon Banjir Jakarta 2014
LONG FABRIC,0.130700801359288,,PCS,,Renkon Banjir Jakarta 2014
TSHIRT,0.065350400679644,,PCS,,Renkon Banjir Jakarta 2014
SANITARY NAPKIN,0.065350400679644,,PACK,,Renkon Banjir Jakarta 2014
WOMEN UNDERWEAR,0.081688000849555,,PCS,,Renkon Banjir Jakarta 2014
DIAPERS,0.065350400679644,,PCS,,Renkon Banjir Jakarta 2014
KIDSWARE,0.065350400679644,,PACK,,Renkon Banjir Jakarta 2014
FOODWARE,0.137235841427253,,PACK,,Renkon Banjir Jakarta 2014
PREGNANCY SET,0.040844000424778,,SET,,Renkon Banjir Jakarta 2014
RICE,0.408440004247776,,KG,,Renkon Banjir Jakarta 2014
INSTANT NOODLE,0.171544801784066,,BOX ,,Renkon Banjir Jakarta 2014
COOKING OIL,0.011436320118938,,BOX ,,Renkon Banjir Jakarta 2014
SOY SAUCE,0.069434800722122,,PCS,,Renkon Banjir Jakarta 2014
STUDENT PACK,0.081688000849555,,PACK,,Renkon Banjir Jakarta 2014
PSYCHOSOCIAL CARE PACK,0.081688000849555,,PACK,,Renkon Banjir Jakarta 2014
